"DA Warner","P Awana","12"
"BB Samantray","B Kumar","1"
"Sandeep Sharma","CR Brathwaite","1"
"ML Hayden","CH Gayle","2"
"CM Gautam","IK Pathan","3"
"N Rana","SB Jakati","11"
"KK Nair","MJ McClenaghan","14"
"M Vijay","DR Smith","13"
"JA Morkel","A Nehra","15"
"NV Ojha","HH Pandya","2"
"NV Ojha","PV Tambe","17"
"MC Henriques","R Sharma","5"
"A Kumble","R McLaren","3"
"LRPL Taylor","SC Ganguly","6"
"AP Tare","IK Pathan","2"
"DPMD Jayawardene","AA Chavan","5"
